segment,country,product,discount_band,units_sold,manufacturing_price,sale_price,gross_sales,discounts,sales,cogs,profit,date,month_number,month_name,year,net_income,total_assets,equity,liabilities,current_assets,current_liabilities,roa,roe,marge_nette,endettement,liquidite,rotation_actifs,Cluster
Government,Canada,Carretera,none,1618.5,3.0,20.0,32370.0,3108.0,32370.0,16185.0,16185.0,,1, January ,2014,16185.0,323700.0,64740.0,258960.0,161850.0,97110.0,0.05,0.25,0.5,4.0,1.6666666666666667,0.1,0
Government,Germany,Carretera,none,1321.0,3.0,20.0,26420.0,3108.0,26420.0,13210.0,13210.0,,1, January ,2014,13210.0,264200.0,52840.0,211360.0,132100.0,79260.0,0.05,0.25,0.5,4.0,1.6666666666666667,0.1,0
Midmarket,France,Carretera,none,2178.0,3.0,15.0,32670.0,3108.0,32670.0,21780.0,10890.0,,6, June ,2014,10890.0,326700.0,65340.0,261360.0,163350.0,98010.0,0.03333333333333333,0.16666666666666666,0.3333333333333333,4.0,1.6666666666666667,0.1,1
Midmarket,Germany,Carretera,none,888.0,3.0,15.0,13320.0,3108.0,13320.0,8880.0,4440.0,,6, June ,2014,4440.0,133200.0,26640.0,106560.0,66600.0,39960.0,0.03333333333333333,0.16666666666666666,0.3333333333333333,4.0,1.6666666666666667,0.1,1
Midmarket,Mexico,Carretera,none,2470.0,3.0,15.0,37050.0,3108.0,37050.0,24700.0,12350.0,,6, June ,2014,12350.0,370500.0,74100.0,296400.0,185250.0,111150.0,0.03333333333333333,0.16666666666666666,0.3333333333333333,4.0,1.6666666666666667,0.1,1
Government,Germany,Carretera,none,1513.0,3.0,350.0,529550.0,3108.0,529550.0,393380.0,136170.0,,12, December ,2014,136170.0,5295500.0,1059100.0,4236400.0,2647750.0,1588650.0,0.025714285714285714,0.12857142857142856,0.2571428571428571,4.0,1.6666666666666667,0.1,1
Midmarket,Germany,Montana,none,921.0,5.0,15.0,13815.0,3108.0,13815.0,9210.0,4605.0,,3, March ,2014,4605.0,138150.0,27630.0,110520.0,69075.0,41445.0,0.03333333333333333,0.16666666666666666,0.3333333333333333,4.0,1.6666666666666667,0.1,1
Channel Partners,Canada,Montana,none,2518.0,5.0,12.0,30216.0,3108.0,30216.0,7554.0,22662.0,,6, June ,2014,22662.0,302160.0,60432.0,241728.0,151080.0,90648.0,0.075,0.375,0.75,4.0,1.6666666666666667,0.1,0
Government,France,Montana,none,1899.0,5.0,20.0,37980.0,3108.0,37980.0,18990.0,18990.0,,6, June ,2014,18990.0,379800.0,75960.0,303840.0,189900.0,113940.0,0.05,0.25,0.5,4.0,1.6666666666666667,0.1,0
Channel Partners,Germany,Montana,none,1545.0,5.0,12.0,18540.0,3108.0,18540.0,4635.0,13905.0,,6, June ,2014,13905.0,185400.0,37080.0,148320.0,92700.0,55620.0,0.075,0.375,0.75,4.0,1.6666666666666667,0.1,0
Midmarket,Mexico,Montana,none,2470.0,5.0,15.0,37050.0,3108.0,37050.0,24700.0,12350.0,,6, June ,2014,12350.0,370500.0,74100.0,296400.0,185250.0,111150.0,0.03333333333333333,0.16666666666666666,0.3333333333333333,4.0,1.6666666666666667,0.1,1
Enterprise,Canada,Montana,none,2665.5,5.0,125.0,333187.5,3108.0,333187.5,319860.0,13327.5,,7, July ,2014,13327.5,3331875.0,666375.0,2665500.0,1665937.5,999562.5,0.004,0.02,0.04,4.0,1.6666666666666667,0.1,1
Small Business,Mexico,Montana,none,958.0,5.0,300.0,287400.0,3108.0,287400.0,239500.0,47900.0,,8, August ,2014,47900.0,2874000.0,574800.0,2299200.0,1437000.0,862200.0,0.016666666666666666,0.08333333333333333,0.16666666666666666,4.0,1.6666666666666667,0.1,1
Government,Germany,Montana,none,2146.0,5.0,7.0,15022.0,3108.0,15022.0,10730.0,4292.0,,9, September ,2014,4292.0,150220.0,30044.0,120176.0,75110.0,45066.0,0.02857142857142857,0.14285714285714285,0.2857142857142857,4.0,1.6666666666666667,0.1,1
Enterprise,Canada,Montana,none,345.0,5.0,125.0,43125.0,3108.0,43125.0,41400.0,1725.0,,10, October ,2013,1725.0,431250.0,86250.0,345000.0,215625.0,129375.0,0.004,0.02,0.04,4.0,1.6666666666666667,0.1,1
Midmarket,United States of America,Montana,none,615.0,5.0,15.0,9225.0,3108.0,9225.0,6150.0,3075.0,,12, December ,2014,3075.0,92250.0,18450.0,73800.0,46125.0,27675.0,0.03333333333333333,0.16666666666666666,0.3333333333333333,4.0,1.6666666666666667,0.1,1
Government,Canada,Paseo,none,292.0,10.0,20.0,5840.0,3108.0,5840.0,2920.0,2920.0,,2, February ,2014,2920.0,58400.0,11680.0,46720.0,29200.0,17520.0,0.05,0.25,0.5,4.0,1.6666666666666667,0.1,0
Midmarket,Mexico,Paseo,none,974.0,10.0,15.0,14610.0,3108.0,14610.0,9740.0,4870.0,,2, February ,2014,4870.0,146100.0,29220.0,116880.0,73050.0,43830.0,0.03333333333333333,0.16666666666666666,0.3333333333333333,4.0,1.6666666666666667,0.1,1
Channel Partners,Canada,Paseo,none,2518.0,10.0,12.0,30216.0,3108.0,30216.0,7554.0,22662.0,,6, June ,2014,22662.0,302160.0,60432.0,241728.0,151080.0,90648.0,0.075,0.375,0.75,4.0,1.6666666666666667,0.1,0
Government,Germany,Paseo,none,1006.0,10.0,350.0,352100.0,3108.0,352100.0,261560.0,90540.0,,6, June ,2014,90540.0,3521000.0,704200.0,2816800.0,1760500.0,1056300.0,0.025714285714285714,0.12857142857142856,0.2571428571428571,4.0,1.6666666666666667,0.1,1
Channel Partners,Germany,Paseo,none,367.0,10.0,12.0,4404.0,3108.0,4404.0,1101.0,3303.0,,7, July ,2014,3303.0,44040.0,8808.0,35232.0,22020.0,13212.0,0.075,0.375,0.75,4.0,1.6666666666666667,0.1,0
Government,Mexico,Paseo,none,883.0,10.0,7.0,6181.0,3108.0,6181.0,4415.0,1766.0,,8, August ,2014,1766.0,61810.0,12362.0,49448.0,30905.0,18543.0,0.02857142857142857,0.14285714285714285,0.2857142857142857,4.0,1.6666666666666667,0.1,1
Midmarket,France,Paseo,none,549.0,10.0,15.0,8235.0,3108.0,8235.0,5490.0,2745.0,,9, September ,2013,2745.0,82350.0,16470.0,65880.0,41175.0,24705.0,0.03333333333333333,0.16666666666666666,0.3333333333333333,4.0,1.6666666666666667,0.1,1
Small Business,Mexico,Paseo,none,788.0,10.0,300.0,236400.0,3108.0,236400.0,197000.0,39400.0,,9, September ,2013,39400.0,2364000.0,472800.0,1891200.0,1182000.0,709200.0,0.016666666666666666,0.08333333333333333,0.16666666666666666,4.0,1.6666666666666667,0.1,1
Midmarket,Mexico,Paseo,none,2472.0,10.0,15.0,37080.0,3108.0,37080.0,24720.0,12360.0,,9, September ,2014,12360.0,370800.0,74160.0,296640.0,185400.0,111240.0,0.03333333333333333,0.16666666666666666,0.3333333333333333,4.0,1.6666666666666667,0.1,1
Government,United States of America,Paseo,none,1143.0,10.0,7.0,8001.0,3108.0,8001.0,5715.0,2286.0,,10, October ,2014,2286.0,80010.0,16002.0,64008.0,40005.0,24003.0,0.02857142857142857,0.14285714285714285,0.2857142857142857,4.0,1.6666666666666667,0.1,1
Government,Canada,Paseo,none,1725.0,10.0,350.0,603750.0,3108.0,603750.0,448500.0,155250.0,,11, November ,2013,155250.0,6037500.0,1207500.0,4830000.0,3018750.0,1811250.0,0.025714285714285714,0.12857142857142856,0.2571428571428571,4.0,1.6666666666666667,0.1,1
Channel Partners,United States of America,Paseo,none,912.0,10.0,12.0,10944.0,3108.0,10944.0,2736.0,8208.0,,11, November ,2013,8208.0,109440.0,21888.0,87552.0,54720.0,32832.0,0.075,0.375,0.75,4.0,1.6666666666666667,0.1,0
Midmarket,Canada,Paseo,none,2152.0,10.0,15.0,32280.0,3108.0,32280.0,21520.0,10760.0,,12, December ,2013,10760.0,322800.0,64560.0,258240.0,161400.0,96840.0,0.03333333333333333,0.16666666666666666,0.3333333333333333,4.0,1.6666666666666667,0.1,1
Government,Canada,Paseo,none,1817.0,10.0,20.0,36340.0,3108.0,36340.0,18170.0,18170.0,,12, December ,2014,18170.0,363400.0,72680.0,290720.0,181700.0,109020.0,0.05,0.25,0.5,4.0,1.6666666666666667,0.1,0
Government,Germany,Paseo,none,1513.0,10.0,350.0,529550.0,3108.0,529550.0,393380.0,136170.0,,12, December ,2014,136170.0,5295500.0,1059100.0,4236400.0,2647750.0,1588650.0,0.025714285714285714,0.12857142857142856,0.2571428571428571,4.0,1.6666666666666667,0.1,1
Government,Mexico,Velo,none,1493.0,120.0,7.0,10451.0,3108.0,10451.0,7465.0,2986.0,,1, January ,2014,2986.0,104510.0,20902.0,83608.0,52255.0,31353.0,0.02857142857142857,0.14285714285714285,0.2857142857142857,4.0,1.6666666666666667,0.1,1
Enterprise,France,Velo,none,1804.0,120.0,125.0,225500.0,3108.0,225500.0,216480.0,9020.0,,2, February ,2014,9020.0,2255000.0,451000.0,1804000.0,1127500.0,676500.0,0.004,0.02,0.04,4.0,1.6666666666666667,0.1,1
Channel Partners,Germany,Velo,none,2161.0,120.0,12.0,25932.0,3108.0,25932.0,6483.0,19449.0,,3, March ,2014,19449.0,259320.0,51864.0,207456.0,129660.0,77796.0,0.075,0.375,0.75,4.0,1.6666666666666667,0.1,0
Government,Germany,Velo,none,1006.0,120.0,350.0,352100.0,3108.0,352100.0,261560.0,90540.0,,6, June ,2014,90540.0,3521000.0,704200.0,2816800.0,1760500.0,1056300.0,0.025714285714285714,0.12857142857142856,0.2571428571428571,4.0,1.6666666666666667,0.1,1
Channel Partners,Germany,Velo,none,1545.0,120.0,12.0,18540.0,3108.0,18540.0,4635.0,13905.0,,6, June ,2014,13905.0,185400.0,37080.0,148320.0,92700.0,55620.0,0.075,0.375,0.75,4.0,1.6666666666666667,0.1,0
Enterprise,United States of America,Velo,none,2821.0,120.0,125.0,352625.0,3108.0,352625.0,338520.0,14105.0,,8, August ,2014,14105.0,3526250.0,705250.0,2821000.0,1763125.0,1057875.0,0.004,0.02,0.04,4.0,1.6666666666666667,0.1,1
Enterprise,Canada,Velo,none,345.0,120.0,125.0,43125.0,3108.0,43125.0,41400.0,1725.0,,10, October ,2013,1725.0,431250.0,86250.0,345000.0,215625.0,129375.0,0.004,0.02,0.04,4.0,1.6666666666666667,0.1,1
Small Business,Canada,VTT,none,2001.0,250.0,300.0,600300.0,3108.0,600300.0,500250.0,100050.0,,2, February ,2014,100050.0,6003000.0,1200600.0,4802400.0,3001500.0,1800900.0,0.016666666666666666,0.08333333333333333,0.16666666666666666,4.0,1.6666666666666667,0.1,1
Channel Partners,Germany,VTT,none,2838.0,250.0,12.0,34056.0,3108.0,34056.0,8514.0,25542.0,,4, April ,2014,25542.0,340560.0,68112.0,272448.0,170280.0,102168.0,0.075,0.375,0.75,4.0,1.6666666666666667,0.1,0
Midmarket,France,VTT,none,2178.0,250.0,15.0,32670.0,3108.0,32670.0,21780.0,10890.0,,6, June ,2014,10890.0,326700.0,65340.0,261360.0,163350.0,98010.0,0.03333333333333333,0.16666666666666666,0.3333333333333333,4.0,1.6666666666666667,0.1,1
Midmarket,Germany,VTT,none,888.0,250.0,15.0,13320.0,3108.0,13320.0,8880.0,4440.0,,6, June ,2014,4440.0,133200.0,26640.0,106560.0,66600.0,39960.0,0.03333333333333333,0.16666666666666666,0.3333333333333333,4.0,1.6666666666666667,0.1,1
Government,France,VTT,none,1527.0,250.0,350.0,534450.0,3108.0,534450.0,397020.0,137430.0,,9, September ,2013,137430.0,5344500.0,1068900.0,4275600.0,2672250.0,1603350.0,0.025714285714285714,0.12857142857142856,0.2571428571428571,4.0,1.6666666666666667,0.1,1
Small Business,France,VTT,none,2151.0,250.0,300.0,645300.0,3108.0,645300.0,537750.0,107550.0,,9, September ,2014,107550.0,6453000.0,1290600.0,5162400.0,3226500.0,1935900.0,0.016666666666666666,0.08333333333333333,0.16666666666666666,4.0,1.6666666666666667,0.1,1
Government,Canada,VTT,none,1817.0,250.0,20.0,36340.0,3108.0,36340.0,18170.0,18170.0,,12, December ,2014,18170.0,363400.0,72680.0,290720.0,181700.0,109020.0,0.05,0.25,0.5,4.0,1.6666666666666667,0.1,0
Government,France,Amarilla,none,2750.0,260.0,350.0,962500.0,3108.0,962500.0,715000.0,247500.0,,2, February ,2014,247500.0,9625000.0,1925000.0,7700000.0,4812500.0,2887500.0,0.025714285714285714,0.12857142857142856,0.2571428571428571,4.0,1.6666666666666667,0.1,1
Channel Partners,United States of America,Amarilla,none,1953.0,260.0,12.0,23436.0,3108.0,23436.0,5859.0,17577.0,,4, April ,2014,17577.0,234360.0,46872.0,187488.0,117180.0,70308.0,0.075,0.375,0.75,4.0,1.6666666666666667,0.1,0
Enterprise,Germany,Amarilla,none,4219.5,260.0,125.0,527437.5,3108.0,527437.5,506340.0,21097.5,,4, April ,2014,21097.5,5274375.0,1054875.0,4219500.0,2637187.5,1582312.5,0.004,0.02,0.04,4.0,1.6666666666666667,0.1,1
Government,France,Amarilla,none,1899.0,260.0,20.0,37980.0,3108.0,37980.0,18990.0,18990.0,,6, June ,2014,18990.0,379800.0,75960.0,303840.0,189900.0,113940.0,0.05,0.25,0.5,4.0,1.6666666666666667,0.1,0
Government,Germany,Amarilla,none,1686.0,260.0,7.0,11802.0,3108.0,11802.0,8430.0,3372.0,,7, July ,2014,3372.0,118020.0,23604.0,94416.0,59010.0,35406.0,0.02857142857142857,0.14285714285714285,0.2857142857142857,4.0,1.6666666666666667,0.1,1
Channel Partners,United States of America,Amarilla,none,2141.0,260.0,12.0,25692.0,3108.0,25692.0,6423.0,19269.0,,8, August ,2014,19269.0,256920.0,51384.0,205536.0,128460.0,77076.0,0.075,0.375,0.75,4.0,1.6666666666666667,0.1,0
Government,United States of America,Amarilla,none,1143.0,260.0,7.0,8001.0,3108.0,8001.0,5715.0,2286.0,,10, October ,2014,2286.0,80010.0,16002.0,64008.0,40005.0,24003.0,0.02857142857142857,0.14285714285714285,0.2857142857142857,4.0,1.6666666666666667,0.1,1
Midmarket,United States of America,Amarilla,none,615.0,260.0,15.0,9225.0,3108.0,9225.0,6150.0,3075.0,,12, December ,2014,3075.0,92250.0,18450.0,73800.0,46125.0,27675.0,0.03333333333333333,0.16666666666666666,0.3333333333333333,4.0,1.6666666666666667,0.1,1
Government,France,Paseo,low,3945.0,10.0,7.0,27615.0,276.15,27338.85,19725.0,7613.85,,1, January ,2014,7613.85,273388.5,54677.700000000004,218710.80000000002,136694.25,82016.55,0.02784992784992785,0.13924963924963923,0.2784992784992785,4.0,1.6666666666666665,0.09999999999999999,1
Midmarket,France,Paseo,low,2296.0,10.0,15.0,34440.0,344.4,34095.6,22960.0,11135.6,,2, February ,2014,11135.6,340956.0,68191.2,272764.8,170478.0,102286.8,0.03265993265993266,0.1632996632996633,0.3265993265993266,4.0,1.6666666666666665,0.09999999999999999,1
Government,France,Paseo,low,1030.0,10.0,7.0,7210.0,72.1,7137.9,5150.0,1987.9,,5, May ,2014,1987.9,71379.0,14275.800000000001,57103.200000000004,35689.5,21413.7,0.02784992784992785,0.13924963924963923,0.2784992784992785,4.0,1.6666666666666665,0.09999999999999999,1
Government,France,Velo,low,639.0,120.0,7.0,4473.0,44.73,4428.27,3195.0,1233.27,,11, November ,2014,1233.27,44282.700000000004,8856.54,35426.16,22141.350000000002,13284.810000000001,0.027849927849927847,0.13924963924963923,0.27849927849927847,4.0,1.6666666666666667,0.1,1
Government,Canada,VTT,low,1326.0,250.0,7.0,9282.0,92.82,9189.18,6630.0,2559.18,,3, March ,2014,2559.18,91891.8,18378.36,73513.44,45945.9,27567.54,0.027849927849927847,0.13924963924963923,0.27849927849927847,4.0,1.6666666666666667,0.1,1
Channel Partners,United States of America,Carretera,low,1858.0,3.0,12.0,22296.0,222.96,22073.04,5574.0,16499.04,,2, February ,2014,16499.04,220730.40000000002,44146.08000000001,176584.32000000004,110365.20000000001,66219.12000000001,0.07474747474747474,0.3737373737373737,0.7474747474747475,4.0,1.6666666666666665,0.09999999999999999,0
Government,Mexico,Carretera,low,1210.0,3.0,350.0,423500.0,4235.0,419265.0,314600.0,104665.0,,3, March ,2014,104665.0,4192650.0,838530.0,3354120.0,2096325.0,1257795.0,0.024963924963924963,0.12481962481962482,0.24963924963924963,4.0,1.6666666666666667,0.1,1
Government,United States of America,Carretera,low,2529.0,3.0,7.0,17703.0,177.03,17525.97,12645.0,4880.97,,7, July ,2014,4880.97,175259.7,35051.94,140207.76,87629.85,52577.91,0.02784992784992785,0.13924963924963923,0.27849927849927847,4.0,1.6666666666666667,0.1,1
Channel Partners,Canada,Carretera,low,1445.0,3.0,12.0,17340.0,173.4,17166.6,4335.0,12831.6,,9, September ,2014,12831.6,171666.0,34333.200000000004,137332.80000000002,85833.0,51499.799999999996,0.07474747474747474,0.3737373737373737,0.7474747474747475,4.0,1.6666666666666667,0.09999999999999999,0
Enterprise,United States of America,Carretera,low,330.0,3.0,125.0,41250.0,412.5,40837.5,39600.0,1237.5,,9, September ,2013,1237.5,408375.0,81675.0,326700.0,204187.5,122512.5,0.0030303030303030303,0.015151515151515152,0.030303030303030304,4.0,1.6666666666666667,0.1,1
Channel Partners,France,Carretera,low,2671.0,3.0,12.0,32052.0,320.52,31731.48,8013.0,23718.48,,9, September ,2014,23718.48,317314.8,63462.96,253851.84,158657.4,95194.43999999999,0.07474747474747474,0.37373737373737376,0.7474747474747475,4.0,1.6666666666666667,0.1,0
Channel Partners,Germany,Carretera,low,766.0,3.0,12.0,9192.0,91.92,9100.08,2298.0,6802.08,,10, October ,2013,6802.08,91000.8,18200.16,72800.64,45500.4,27300.24,0.07474747474747474,0.37373737373737376,0.7474747474747475,4.0,1.6666666666666665,0.09999999999999999,0
Small Business,Mexico,Carretera,low,494.0,3.0,300.0,148200.0,1482.0,146718.0,123500.0,23218.0,,10, October ,2013,23218.0,1467180.0,293436.0,1173744.0,733590.0,440154.0,0.015824915824915825,0.07912457912457913,0.15824915824915825,4.0,1.6666666666666667,0.1,1
Government,Mexico,Carretera,low,1397.0,3.0,350.0,488950.0,4889.5,484060.5,363220.0,120840.5,,10, October ,2014,120840.5,4840605.0,968121.0,3872484.0,2420302.5,1452181.5,0.024963924963924963,0.12481962481962482,0.24963924963924963,4.0,1.6666666666666667,0.1,1
Government,France,Carretera,low,2155.0,3.0,350.0,754250.0,7542.5,746707.5,560300.0,186407.5,,12, December ,2014,186407.5,7467075.0,1493415.0,5973660.0,3733537.5,2240122.5,0.024963924963924963,0.12481962481962482,0.24963924963924963,4.0,1.6666666666666667,0.1,1
Midmarket,Mexico,Montana,low,2214.0,5.0,15.0,33210.0,332.1,32877.9,22140.0,10737.9,,3, March ,2014,10737.9,328779.0,65755.8,263023.2,164389.5,98633.7,0.03265993265993266,0.16329966329966328,0.32659932659932656,4.0,1.6666666666666667,0.1,1
Small Business,United States of America,Montana,low,2301.0,5.0,300.0,690300.0,6903.0,683397.0,575250.0,108147.0,,4, April ,2014,108147.0,6833970.0,1366794.0,5467176.0,3416985.0,2050191.0,0.015824915824915825,0.07912457912457913,0.15824915824915825,4.0,1.6666666666666667,0.1,1
Government,France,Montana,low,1375.5,5.0,20.0,27510.0,275.1,27234.9,13755.0,13479.9,,7, July ,2014,13479.9,272349.0,54469.8,217879.2,136174.5,81704.7,0.049494949494949494,0.24747474747474746,0.4949494949494949,4.0,1.6666666666666667,0.1,0
Government,Canada,Montana,low,1830.0,5.0,7.0,12810.0,128.1,12681.9,9150.0,3531.9,,8, August ,2014,3531.9,126819.0,25363.800000000003,101455.20000000001,63409.5,38045.7,0.02784992784992785,0.13924963924963923,0.2784992784992785,4.0,1.6666666666666667,0.09999999999999999,1
Small Business,United States of America,Montana,low,2498.0,5.0,300.0,749400.0,7494.0,741906.0,624500.0,117406.0,,9, September ,2013,117406.0,7419060.0,1483812.0,5935248.0,3709530.0,2225718.0,0.015824915824915825,0.07912457912457913,0.15824915824915825,4.0,1.6666666666666667,0.1,1
Enterprise,United States of America,Montana,low,663.0,5.0,125.0,82875.0,828.75,82046.25,79560.0,2486.25,,10, October ,2013,2486.25,820462.5,164092.5,656370.0,410231.25,246138.75,0.0030303030303030303,0.015151515151515152,0.030303030303030304,4.0,1.6666666666666667,0.1,1
